Equipment,Substation Name,"Reliability Risk Matrix (PoF,CoF)",line,type,Equipment Type,Date,Age,Failure Type,_merge
42739595,ORLAND B SUB,22,D,BRKR,,,,,left_only
41345378,UKIAH SUB,22,D,BRKR,,,,,left_only
41184734,LLAGAS SUB,32,D,BRKR,,,,,left_only
43155165,UPPER LAKE SUB,22,D,BRKR,,,,,left_only
42712105,PARADISE SUB,22,D,BRKR,,,,,left_only
45725572,PARADISE SUB,23,D,BRKR,,,,,left_only
45249498,MORGAN HILL SUB,23,D,BRKR,,,,,left_only
45090445,SANTA TERESA SUB,23,D,BRKR,,,,,left_only
44949682,HALF MOON BAY SUB,23,D,BRKR,,,,,left_only
45309648,JANES CREEK SUB,23,D,BRKR,,,,,left_only
41088866,STOREY SUB,33,D,BRKR,,,,,left_only
42764292,GUERNSEY SUB,23,D,BRKR,,,,,left_only
42764282,GUERNSEY SUB,23,D,BRKR,,,,,left_only
42764281,GUERNSEY SUB,23,D,BRKR,,,,,left_only
41201476,LINCOLN SUB,32,D,BRKR,,,,,left_only
40990815,FELLOWS SUB,42,D,BRKR,,,,,left_only
42764288,GUERNSEY SUB,22,D,BRKR,,,,,left_only
42764289,GUERNSEY SUB,22,D,BRKR,,,,,left_only
42764290,GUERNSEY SUB,22,D,BRKR,,,,,left_only
42764291,GUERNSEY SUB,22,D,BRKR,,,,,left_only
42764287,GUERNSEY SUB,22,D,BRKR,,,,,left_only
40993649,SPRING GAP PH,43,D,BRKR,,,,,left_only
43599280,LAKEWOOD SUB,23,D,BRKR,,,,,left_only
43184501,CALPELLA SUB,23,D,BRKR,,,,,left_only
43157492,MIRABEL SUB,23,D,BRKR,,,,,left_only
43171374,FORT BRAGG A SUB,23,D,BRKR,,,,,left_only
43163588,MIRABEL SUB,22,D,BRKR,,,,,left_only
44890248,EMERALD LAKE SUB,22,D,BRKR,,,,,left_only
42710841,MADISON SUB,22,D,BRKR,,,,,left_only
40994917,WATSONVILLE SUB,42,D,BRKR,,,,,left_only
40996201,INDUSTRIAL ACRES SUB,52,D,BRKR,,,,,left_only
40997206,SAN JOSE A SUB,52,D,BRKR,,,,,left_only
40997205,SAN JOSE A SUB,52,D,BRKR,,,,,left_only
40997210,SAN JOSE A SUB,52,D,BRKR,,,,,left_only
40997202,SAN JOSE A SUB,52,D,BRKR,,,,,left_only
40997209,SAN JOSE A SUB,52,D,BRKR,,,,,left_only
40996200,INDUSTRIAL ACRES SUB,52,D,BRKR,,,,,left_only
40996126,HOPLAND SUB,42,D,BRKR,,,,,left_only
40995863,EAST GRAND SUB,52,D,BRKR,,,,,left_only
40995861,EAST GRAND SUB,42,D,BRKR,,,,,left_only
40995862,EAST GRAND SUB,52,D,BRKR,,,,,left_only
40995507,BORONDA SUB,42,D,BRKR,,,,,left_only
40996369,LOYOLA SUB,52,D,BRKR,,,,,left_only
40996370,LOYOLA SUB,52,D,BRKR,,,,,left_only
40996368,LOYOLA SUB,52,D,BRKR,,,,,left_only
44196275,WEST SACRAMENTO SUB,23,D,BRKR,,,,,left_only
40991209,PLYMOUTH SUB,42,D,BRKR,,,,,left_only
40992610,JUDAH SUB,52,D,BRKR,,,,,left_only
40991687,WOOD SUB,52,D,BRKR,,,,,left_only
40991245,RANDOLPH SUB,52,D,BRKR,,,,,left_only
40990584,BANCROFT SUB,52,D,BRKR,,,,,left_only
40990777,EIGHTH AVE SUB,52,D,BRKR,,,,,left_only
40991244,RANDOLPH SUB,52,D,BRKR,,,,,left_only
40993229,OCEAN AVE SUB,52,D,BRKR,,,,,left_only
40993495,SIXTH AVE SUB,42,D,BRKR,,,,,left_only
40990453,ACTON SUB,42,D,BRKR,,,,,left_only
40992611,JUDAH SUB,52,D,BRKR,,,,,left_only
40992436,FELTON SUB,52,D,BRKR,,,,,left_only
40992012,BEN LOMOND SUB,52,D,BRKR,,,,,left_only
40991786,HOLLYWOOD SUB,52,D,BRKR,,,,,left_only
40989966,WESTLAKE SUB,52,D,BRKR,,,,,left_only
40993496,SIXTH AVE SUB,42,D,BRKR,,,,,left_only
40992956,MIRA VISTA SUB,52,D,BRKR,,,,,left_only
41117742,SAN JOAQUIN SUB,32,D,BRKR,,,,,left_only
40991895,ACTON SUB,52,D,BRKR,,,,,left_only
40993415,RUSSELL SUB,52,D,BRKR,,,,,left_only
40989892,TWENTY-FIRST AVE SUB,52,D,BRKR,,,,,left_only
40993228,OCEAN AVE SUB,52,D,BRKR,,,,,left_only
40993338,PORTOLA SUB,42,D,BRKR,,,,,left_only
40993406,RANDOLPH SUB,52,D,BRKR,,,,,left_only
40993176,OAK SUB,52,D,BRKR,,,,,left_only
40989942,WALL SUB,52,D,BRKR,,,,,left_only
40990201,WALDO SUB,52,D,BRKR,,,,,left_only
40992054,BROOKSIDE SUB,52,D,BRKR,,,,,left_only
40990585,BANCROFT SUB,52,D,BRKR,,,,,left_only
40989891,TWENTY-FIRST AVE SUB,52,D,BRKR,,,,,left_only
40993752,TARAVAL SUB,52,D,BRKR,,,,,left_only
40989967,WESTLAKE SUB,52,D,BRKR,,,,,left_only
43598849,TWISSELMAN SUB,23,D,BRKR,,,,,left_only
43598852,TWISSELMAN SUB,23,D,BRKR,,,,,left_only
40992388,ESTUDILLO SUB,52,D,BRKR,,,,,left_only
40993335,PARSONS SUB,42,D,BRKR,,,,,left_only
40990696,CHICO C SUB,52,D,BRKR,,,,,left_only
40996892,RACETRACK SUB,43,D,BRKR,,,,,left_only
40995040,COLONY SUB,52,D,BRKR,,,,,left_only
43198901,POSO MTN SUB,23,D,BRKR,,,,,left_only
43198903,POSO MTN SUB,23,D,BRKR,,,,,left_only
40991922,ARLINGTON SUB,52,D,BRKR,,,,,left_only
40993497,SIXTH AVE SUB,52,D,BRKR,,,,,left_only
40990690,CASTRO SUB,52,D,BRKR,,,,,left_only
40990595,BEACH ST,42,D,BRKR,,,,,left_only
40993753,TARAVAL SUB,42,D,BRKR,,,,,left_only
40990950,MAPLE SUB,52,D,BRKR,,,,,left_only
40993337,PORTOLA SUB,52,D,BRKR,,,,,left_only
40990691,CASTRO SUB,52,D,BRKR,,,,,left_only
40992958,MIRA VISTA SUB,52,D,BRKR,,,,,left_only
40990053,YOSEMITE SUB,52,D,BRKR,,,,,left_only
40992509,GILL SUB,52,D,BRKR,,,,,left_only
40992245,CASSERLY SUB,52,D,BRKR,,,,,left_only
40991923,ARANA SUB,52,D,BRKR,,,,,left_only
40991765,SULLIVAN SUB,52,D,BRKR,,,,,left_only
40991548,SARANAP SUB,42,D,BRKR,,,,,left_only
40990808,FLORENCE SUB,52,D,BRKR,,,,,left_only
40991948,BABEL SUB,52,D,BRKR,,,,,left_only
40990796,FIGARDEN SUB,43,D,BRKR,,,,,left_only
40991784,FIGARDEN SUB,43,D,BRKR,,,,,left_only
40991702,FIGARDEN SUB,43,D,BRKR,,,,,left_only
40990798,FIGARDEN SUB,43,D,BRKR,,,,,left_only
40990800,FIGARDEN SUB,43,D,BRKR,,,,,left_only
40990799,FIGARDEN SUB,53,D,BRKR,,,,,left_only
40990477,ASHLAN AVE SUB,43,D,BRKR,,,,,left_only
40990478,ASHLAN AVE SUB,43,D,BRKR,,,,,left_only
40990476,ASHLAN AVE SUB,43,D,BRKR,,,,,left_only
41024905,ASHLAN AVE SUB,43,D,BRKR,,,,,left_only
40991926,ASHLAN AVE SUB,53,D,BRKR,,,,,left_only
40991925,ASHLAN AVE SUB,53,D,BRKR,,,,,left_only
40991929,ASHLAN AVE SUB,53,D,BRKR,,,,,left_only
40991928,ASHLAN AVE SUB,53,D,BRKR,,,,,left_only
40991924,ASHLAN AVE SUB,43,D,BRKR,,,,,left_only
40991927,ASHLAN AVE SUB,43,D,BRKR,,,,,left_only
41024906,ASHLAN AVE SUB,43,D,BRKR,,,,,left_only
40990475,ASHLAN AVE SUB,43,D,BRKR,,,,,left_only
40995161,BARTON SUB,43,D,BRKR,,,,,left_only
40990245,BARTON SUB,43,D,BRKR,,,,,left_only
40992068,BARTON SUB,43,D,BRKR,,,,,left_only
40990246,BULLARD SUB,43,D,BRKR,,,,,left_only
40991118,GRANT SUB,43,D,BRKR,,,,,left_only
40990247,BULLARD SUB,43,D,BRKR,,,,,left_only
40995791,DAVIS SUB,43,D,BRKR,,,,,left_only
40995788,DAVIS SUB,43,D,BRKR,,,,,left_only
40995300,STELLING SUB,43,D,BRKR,,,,,left_only
40990217,VACA DIXON SUB,33,D,BRKR,,,,,left_only
40994890,WOLFE SUB,43,D,BRKR,,,,,left_only
40995647,CHARCA SUB,43,D,BRKR,,,,,left_only
40997355,SUISUN SUB,43,D,BRKR,,,,,left_only
40997270,STOCKTON A SUB,43,D,BRKR,,,,,left_only
40996553,MALAGA SUB,43,D,BRKR,,,,,left_only
40996387,LAWRENCE SUB,43,D,BRKR,,,,,left_only
40996555,MALAGA SUB,43,D,BRKR,,,,,left_only
40997364,SYCAMORE CREEK SUB,42,D,BRKR,,,,,left_only
40996449,MCMULLIN SUB,42,D,BRKR,,,,,left_only
40996773,OREGON TRAIL SUB,42,D,BRKR,,,,,left_only
40994842,WEST SACRAMENTO SUB,42,D,BRKR,,,,,left_only
40996225,KERMAN SUB,42,D,BRKR,,,,,left_only
40992572,HOLLISTER SUB,43,D,BRKR,,,,,left_only
40992868,MANTECA SUB,43,D,BRKR,,,,,left_only
40992519,GRAND ISLAND SUB,43,D,BRKR,,,,,left_only
40992520,GRAND ISLAND SUB,53,D,BRKR,,,,,left_only
40992869,MANTECA SUB,43,D,BRKR,,,,,left_only
40992571,HOLLISTER SUB,43,D,BRKR,,,,,left_only
40993476,SALT SPRINGS PH,43,D,BRKR,,,,,left_only
40992783,LLAGAS SUB,53,D,BRKR,,,,,left_only
40993475,SALT SPRINGS PH,42,D,BRKR,,,,,left_only
40995298,STAGG SUB,43,D,BRKR,,,,,left_only
40996572,MOLINO SUB,43,D,BRKR,,,,,left_only
40996882,PETALUMA C SUB,43,D,BRKR,,,,,left_only
40997265,SAN RAFAEL SUB,43,D,BRKR,,,,,left_only
40992780,LIVINGSTON SUB,43,D,BRKR,,,,,left_only
